- Navalcarnero,"40.2821017684047,-3.9974308416"
- Navarredonda-y-San-Mames,"41.002260831

6099,-3.7213420391"
- Navas-del-Rey,"40.3775645526013,-4.2770694747"
- Nuevo-Baztan,"40.3752455861881,-3.2475477673"
- Olmeda-de-las-Fuentes,"40.3711240196092,-3.2075744484"
- Orusco-de-Tajuna,"40.2939972060512,-3.2113011173"
- Paracuellos-de-Jarama,"40.5198271658523,-3.5333778281"
- Parla,"40.2337784618279,-3.7720945335"
- Patones,"40.8945406675332,-3.4811004746"
- Pedrezuela,"40.7410124265728,-3.6250307369"
- Pelayos-de-la-Presa,"40.3640815552639,-4.3226802509"
- Perales-de-Tajuna,"40.2304872804066,-3.3583565620"
- Pezuela-de-las-Torres,"40.4044716362477,-3.1761448160"
- Pinilla-del-Valle,"40.9411659895241,-3.8338142728"
- Pinto,"40.2589448043895,-3.6832130963"
- Pinuecar-Gandullas,"41.0357427781652,-3.5978049955"
- Pozuelo-de-Alarcon,"40.4300398736521,-3.8165009163"
- Pozuelo-del-Rey,"40.3645406971393,-3.3056875324"
- Pradena-del-Rincon,"41.0433474038297,-3.5233825313"
- Puebla-de-la-Sierra,"40.9956961241862,-3.4664476752"
- Puentes-Viejas,"40.9696352693877,-3.5604658797"
- Quijorna,"40.415400556037,-4.05938009261"
- Rascafria,"40.8621086107951,-3.9026834908"
- Reduena,"40.8144018627811,-3.5918495457"
- Ribatejada,"40.6669157994398,-3.4225579197"
- Rivas-Vaciamadrid,"40.3510851699509,-3.5170123825"
- Robledillo-de-la-Jara,"40.949178476438,-3.52977484618"
- Robledo-de-Chavela,"40.4911089338226,-4.2374437220"
- Robregordo,"41.1217240545633,-3.6029155704"
- Rozas-de-Madrid-Las,"40.5267256637762,-3.9030021064"
- Rozas-de-Puerto-Real,"40.3050611508625,-4.5116743885"
- San-Agustin-del-Guadalix,"40.6896589722037,-3.6302136258"
- San-Fernando-de-Henares,"40.4377562334485,-3.4890879498"
- San-Lorenzo-de-El-Escorial,"40.6099468412176,-4.1266391451"
- San-Martin-de-la-Vega,"40.2471349510188,-3.5531411144"
- San-Martin-de-Valdeiglesias,"40.3623132356877,-4.3439319018"
- San-Sebastian-de-los-Reyes,"40.5794445810967,-3.5941717275"
- Santa-Maria-de-la-Alameda,"40.5913322387343,-4.2478488295"
- Santorcaz,"40.4716326355158,-3.2343578338"
- Santos-de-la-Humosa-Los,"40.513136433463,-3.28234886052"
- Serna-del-Monte-La,"41.0393694321045,-3.6207345453"
- Serranillos-del-Valle,"40.2062028689969,-3.9085051647"
- Sevilla-la-Nueva,"40.3581069365978,-4.0428181543"
- Somosierra,"41.1397101420184,-3.5779692085"
- Soto-del-Real,"40.7513166122883,-3.7864924446"
- Talamanca-de-Jarama,"40.7435014432052,-3.4884628968"
- Tielmes,"40.2358716005861,-3.3007076579"
- Titulcia,"40.1483329604696,-3.5610320412"
- Torrejon-de-Ardoz,"40.4674649068402,-3.4580456511"
- Torrejon-de-la-Calzada,"40.2036000357732,-3.7960741752"
- Torrejon-de-Velasco,"40.1780891144952,-3.7498420653"
- Torrelaguna,"40.8215768860651,-3.5425260865"
- Torrelodones,"40.5667584275129,-3.9280926630"
- Torremocha-de-Jarama,"40.8361365233414,-3.5006287302"
- Torres-de-la-Alameda,"40.421412532902,-3.37249533460"
- Tres-Cantos,"40.426175,-3.685144"
- Valdaracete,"40.1971865384279,-3.2025857291"
- Valdeavero,"40.6281185823606,-3.3499864019"
- Valdelaguna,"40.1773668893705,-3.3722542874"
- Valdemanco,"40.8603849213544,-3.6632155743"
- Valdemaqueda,"40.5060958319637,-4.2960145061"
- Valdemorillo,"40.5064327180077,-4.0605912408"
- Valdemoro,"40.1807566367294,-3.6497825250"
- Valdeolmos-Alalpardo,"40.6384208139889,-3.4614825134"
- Valdepielagos,"40.7574711588,-3.4639266728168"
- Valdetorres-de-Jarama,"40.6933798055353,-3.5175271956"
- Valdilecha,"40.2947473516736,-3.2971681257"
- Valverde-de-Alcala,"40.4090604290158,-3.2998426996"
- Velilla-de-San-Antonio,"40.3651589276275,-3.4793456949"
- Vellon-El,"40.7696292590263,-3.5580885376"
- Venturada,"40.7994087718803,-3.6202642481"
- Villa-del-Prado,"40.269153264963,-4.30459675038"
- Villaconejos,"40.1173113015695,-3.4901417231"
- Villalbilla,"40.449756181695,-3.34516621063"
- Villamanrique-de-Tajo,"40.0702721204141,-3.2430814105"
- Villamanta,"40.3001700345621,-4.1216204149"
- Villamantilla,"40.3411026390635,-4.1398870375"
- Villanueva-de-la-Canada,"40.4500562339441,-3.9834371415"
- Villanueva-de-Perales,"40.3745819269117,-4.0826214534"
- Villanueva-del-Pardillo,"40.4910595013115,-3.9684936386"
- Villar-del-Olmo,"40.3341448835656,-3.2368799729"
- Villarejo-de-Salvanes,"40.1184071263897,-3.2694142410"
- Villaviciosa-de-Odon,"40.3593642874759,-3.9142227172"
- Villavieja-del-Lozoya,"41.0230221203671,-3.6880669195"
- Zarzalejo,"40.5449968240231,-4.1709139501"
